Genus_species,common_name,status,group,tweet_count,endemic,nat_recovery_plan,subspecies,notes,,,,,,,,,,,,,,,,,
Aplonis fusca,Tasman Starling,extinct,bird,1,Y,N,N,,,,,,,,,,,,,,,,,,
Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",extinct,bird,3,Y,N,N,,,,,,,,,,,,,,,,,,
Zosterops strenuus,Robust White-eye,extinct,bird,2,Y,N,N,,,,,,,,,,,,,,,,,,
Strepera fuliginosa colei,Black Currawong (King Island),vulnerable,bird,0,Y,N,N,,,,,,,,,,,,,,,,,,
Turnix varius scintillans,Painted Button-quail (Houtman Abrolhos),vulnerable,bird,0,Y,N,N,,,,,,,,,,,,,,,,,,
Sternula nereis nereis,Australian Fairy Tern,vulnerable,bird,3,N,N,N,,,,,,,,,,,,,,,,,,
Paragalaxias mesotes,Arthurs Paragalaxias,endangered,fish,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Galaxias tanycephalus,Saddled Galaxias,vulnerable,fish,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Galaxias parvus,Swamp Galaxias,vulnerable,fish,0,Y,N,N,,,,,,,,,,,,,,,,,,
Paragalaxias dissimilis,Shannon Paragalaxias,vulnerable,fish,0,Y,N,N,,,,,,,,,,,,,,,,,,
Paragalaxias eleotroides,Great Lake Paragalaxias,vulnerable,fish,0,Y,N,N,,,,,,,,,,,,,,,,,,
Chlamydogobius micropterus,Elizabeth Springs Goby,endangered,fish,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Galaxias fontanus,Swan Galaxias,endangered,fish,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Nannoperca oxleyana,Oxleyan Pygmy Perch,endangered,fish,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",endangered,fish,4,Y,Y,N,,,,,,,,,,,,,,,,,,
Stiphodon semoni,Opal Cling Goby,critically endangered,fish,1,Y,N,N,,,,,,,,,,,,,,,,,,
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",vulnerable,fish,4,Y,Y,N,,,,,,,,,,,,,,,,,,
Nannoperca variegata,"Variegated Pygmy Perch, Ewens Pygmy Perch, Golden Pygmy Perch",vulnerable,fish,4,Y,Y,N,,,,,,,,,,,,,,,,,,
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",critically endangered,fish,3,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudomugil mellis,Honey Blue-eye,vulnerable,fish,4,Y,N,N,,,,,,,,,,,,,,,,,,
Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",extinct,frog,1,Y,N,N,,,,,,,,,,,,,,,,,,
Litoria nyakalensis,Mountain Mistfrog,critically endangered,frog,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Litoria rheocola,Common Mistfrog,endangered,frog,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Taudactylus rheophilus,Tinkling Frog,endangered,frog,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Pseudophryne covacevichae,Magnificent Brood Frog,vulnerable,frog,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Taudactylus eungellensis,Eungella Day Frog,endangered,frog,3,Y,Y,N,,,,,,,,,,,,,,,,,,
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",extinct,mammal,3,Y,N,N,,,,,,,,,,,,,,,,,,
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",extinct,mammal,4,Y,N,N,,,,,,,,,,,,,,,,,,
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",extinct,mammal,2,Y,N,N,,,,,,,,,,,,,,,,,,
Notomys mordax,"Darling Downs Hopping-mouse, Payi",extinct,mammal,1,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudomys gouldii,"Gould's Mouse, Koontin",extinct,mammal,4,Y,N,N,,,,,,,,,,,,,,,,,,
Phascogale pirata,Northern Brush-tailed Phascogale,vulnerable,mammal,0,Y,N,N,,,,,,,,,,,,,,,,,,
Arctocephalus tropicalis,Subantarctic Fur-seal,endangered,mammal,1,N,Y,N,,,,,,,,,,,,,,,,,,
Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",vulnerable,mammal,4,N,Y,N,,,,,,,,,,,,,,,,,,
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",vulnerable,mammal,1,Y,N,N,,,,,,,,,,,,,,,,,,
Zyzomys maini,"Arnhem Rock-rat, Arnhem Land Rock-rat, Kodjperr",vulnerable,mammal,1,Y,N,N,,,,,,,,,,,,,,,,,,
Hipposideros inornatus,Arnhem Leaf-nosed Bat,endangered,mammal,2,Y,N,N,,,,,,,,,,,,,,,,,,
Petrogale coenensis,Cape York Rock-wallaby,endangered,mammal,2,Y,N,N,,,,,,,,,,,,,,,,,,
Petrogale sharmani,"Mount Claro Rock Wallaby, Sharman's Rock Wallaby",vulnerable,mammal,2,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudantechinus mimulus,Carpentarian Antechinus,vulnerable,mammal,3,Y,N,N,,,,,,,,,,,,,,,,,,
Antechinus bellus,Fawn Antechinus,vulnerable,mammal,4,Y,N,N,,,,,,,,,,,,,,,,,,
Hypolimnus pedderensis,Lake Pedder Earthworm,extinct,other,3,Y,N,N,,,,,,,,,,,,,,,,,,
Croitana aestiva,"Desert Sand-skipper, Aestiva Skipper",endangered,other,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Engaeus martigener,Furneaux Burrowing Crayfish,endangered,other,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Engaeus orramakunna,Mount Arthur Burrowing Crayfish,vulnerable,other,0,Y,Y,N,,,,,,,,,,,,,,,,,,
Advena campbellii,Campbell's Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Discocharopa vigens,Ammonite Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,endangered,other,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Hyridella glenelgensis,Glenelg Freshwater Mussel,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha grayi ms,Gray's Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha phillipii,Phillip Island Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Placostylus bivaricosus,"Lord Howe Flax Snail, Lord Howe Placostylus",endangered,other,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Micropathus kiernani,"Francistown Cave Cricket, Southern sandstone cave cricket",critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Mystivagor mastersi,Masters' Charopid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Ordtrachia septentrionalis,Rosewood Keeled Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,critically endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Adclarkia cameroni,Brigalow Woodland Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Adclarkia dulacca,Dulacca Woodland Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Lissotes latidens,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Pommerhelix duralensis,Dural Land Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Sinumelon bednalli,Bednall's Land Snail,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Trisyntopa scatophaga,Antbed Parrot Moth,endangered,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Hoplogonus simsoni,Simson's Stag Beetle,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Kumonga exleyi,Cape Range Remipede,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Parvulastra vivipara,Tasmanian Live-bearing Seastar,vulnerable,other,0,Y,N,N,,,,,,,,,,,,,,,,,,
Engaeus yabbimunna,Burnie Burrowing Crayfish,vulnerable,other,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Mathewsoconcha suteri,a helicarionid land snail,critically endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Pseudocharopa whiteleggei,Whitelegge's Land Snail,critically endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Engaewa walpolea,Walpole Burrowing Crayfish,endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Mesodontrachia fitzroyana,Fitzroy Land Snail,endangered,other,1,Y,N,N,,,,,,,,,,,,,,,,,,
Semotrachia euzyga,a land snail,endangered,other,1,Y,N,N,now called hairy desert snail?,,,,,,,,,,,,,,,,,
Engaewa reducta,Dunsborough Burrowing Crayfish,critically endangered,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Engaeus granulatus,Central North Burrowing Crayfish,endangered,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",vulnerable,other,2,Y,N,N,,,,,,,,,,,,,,,,,,
Leioproctus douglasiellus,a short-tongued bee,critically endangered,other,3,Y,N,N,,,,,,,,,,,,,,,,,,
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",endangered,other,3,Y,N,N,,,,,,,,,,,,,,,,,,
Oreixenica ptunarra,"Ptunarra Brown, Ptunarra Brown Butterfly, Ptunarra Xenica",endangered,other,4,Y,N,N,,,,,,,,,,,,,,,,,,
Nangura spinosa,Nangur Spiny Skink,critically endangered,reptile,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Oligosoma lichenigera,Lord Howe Island Skink,vulnerable,reptile,1,Y,Y,N,,,,,,,,,,,,,,,,,,
Bellatorias obiri,Arnhem Land Egernia,endangered,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Tympanocryptis condaminensis,Condamine Earless Dragon,endangered,reptile,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",vulnerable,reptile,2,Y,Y,N,,,,,,,,,,,,,,,,,,
Ctenotus angusticeps,Airlie Island Ctenotus,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",vulnerable,reptile,3,Y,Y,N,,,,,,,,,,,,,,,,,,
Delma mitella,"Atherton Delma, Legless Lizard",vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Lerista vittata,Mount Cooper Striped Lerista,vulnerable,reptile,0,Y,N,N,,,,,,,,,,,,,,,,,,
Furina dunmalli,Dunmall's Snake,vulnerable,reptile,1,Y,N,N,,,,,,,,,,,,,,,,,,
Uvidicolus sphyrurus,"Border Thick-tailed Gecko, Granite Belt Thick-tailed Gecko",vulnerable,reptile,1,Y,N,N,,,,,,,,,,,,,,,,,,
Aipysurus foliosquama,Leaf-scaled Seasnake,critically endangered,reptile,2,Y,N,N,,,,,,,,,,,,,,,,,,
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,vulnerable,reptile,2,Y,N,N,,,,,,,,,,,,,,,,,,
Aipysurus apraefrontalis,Short-nosed Seasnake,critically endangered,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Acanthophis hawkei,Plains Death Adder,vulnerable,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Delma torquata,"Adorned Delma, Collared Delma",vulnerable,reptile,3,Y,N,N,,,,,,,,,,,,,,,,,,
Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",endangered,reptile,4,Y,N,N,,,,,,,,,,,,,,,,,,
Ctenotus lancelini,Lancelin Island Skink,vulnerable,reptile,4,Y,N,N,,,,,,,,,,,,,,,,,,